what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288043171336
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1288043176893
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288043179067
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288043179875
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1288043182493
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288043209621
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288043221364
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288043235253
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288043237415
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288043250139
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288043250306
error,log,,,"Unhandled event loop exception",1288043250504
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1288043276214
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288043277663
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288043283552
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288043298212
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288043300504
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288043313037
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288043370339
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288043390699
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288043392997
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288043399627
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288043400950
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288043421587
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288043423783
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288043443510
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288043443694
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288043443912
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288043444382
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288043444734
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288043445767
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288043446246
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288043446618
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288043449118
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288043465767
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288043466640
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288043471105
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288043497355
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288043499439
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288043527813
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288043528022
error,log,,,"Unhandled event loop exception",1288043528259
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1288043602565
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288043603195
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1288043619901
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288043620393
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288043638200
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288043673700
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1288043677037
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288043677394
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1288043679097
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288043679465
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288043730122
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288043762171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288043823070
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288043854642
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288043914673
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288043928669
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288043940874
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288043941020
error,log,,,"Unhandled event loop exception",1288043941193
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1288043984618
error,log,,,"Unhandled event loop exception",1288043989362
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288044047934
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288044048451
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288044048652
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288044048820
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288044049115
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288044049443
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288044049707
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1288044049956
